id,created_at,name,status,updated_at,image_id
C01,2024-06-22 21:42:14.887,Coffee,VISIBLE,2024-06-22 21:42:29.405,171906734940443
C02,2024-06-22 21:43:34.683,Latte,VISIBLE,2024-06-22 21:43:34.683,171906741471912
C03,2024-06-22 21:44:02.066,Mocha,VISIBLE,2024-06-22 21:44:02.066,171906744208575
C04,2024-06-22 21:44:30.616,Frosty,VISIBLE,2024-06-22 21:44:30.616,171906747064738
C06,2024-06-22 21:53:49.953,Tea,VISIBLE,2024-06-22 21:53:49.953,171906802997396
C07,2024-06-22 21:54:30.063,Donut,VISIBLE,2024-06-22 21:54:30.063,171906807008366
