id,cloudinary_image_id,created_at,image_url,thumbnail_url,type,updated_at
171906915183797,drinks/admin/product/ClassicChaiLatt_product_1719069148813,2024-06-22 22:12:31.837,http://res.cloudinary.com/dtvnsczg8/image/upload/v1719069150/drinks/admin/product/ClassicChaiLatt_product_1719069148813.png,"http://res.cloudinary.com/dtvnsczg8/image/upload/h_320,q_auto:low,w_320/v1719069150/drinks/admin/product/ClassicChaiLatt_product_1719069148813",PRODUCT,2024-06-22 22:12:31.837
171906923313865,drinks/admin/product/MatchaVanillaTeaLatt_product_1719069228892,2024-06-22 22:13:53.138,http://res.cloudinary.com/dtvnsczg8/image/upload/v1719069231/drinks/admin/product/MatchaVanillaTeaLatt_product_1719069228892.png,"http://res.cloudinary.com/dtvnsczg8/image/upload/h_320,q_auto:low,w_320/v1719069231/drinks/admin/product/MatchaVanillaTeaLatt_product_1719069228892",PRODUCT,2024-06-22 22:13:53.138
171906929944683,drinks/admin/product/PumpkinCaribouFrost_product_1719069295978,2024-06-22 22:14:59.446,http://res.cloudinary.com/dtvnsczg8/image/upload/v1719069298/drinks/admin/product/PumpkinCaribouFrost_product_1719069295978.png,"http://res.cloudinary.com/dtvnsczg8/image/upload/h_320,q_auto:low,w_320/v1719069298/drinks/admin/product/PumpkinCaribouFrost_product_1719069295978",PRODUCT,2024-06-22 22:14:59.446
171906936201189,drinks/admin/product/VanillaCaribouFrost_product_1719069354559,2024-06-22 22:16:02.010,http://res.cloudinary.com/dtvnsczg8/image/upload/v1719069357/drinks/admin/product/VanillaCaribouFrost_product_1719069354559.png,"http://res.cloudinary.com/dtvnsczg8/image/upload/h_320,q_auto:low,w_320/v1719069357/drinks/admin/product/VanillaCaribouFrost_product_1719069354559",PRODUCT,2024-06-22 22:16:02.010
171906942205028,drinks/admin/product/ChocolateCaribouFrost_product_1719069417574,2024-06-22 22:17:02.049,http://res.cloudinary.com/dtvnsczg8/image/upload/v1719069420/drinks/admin/product/ChocolateCaribouFrost_product_1719069417574.png,"http://res.cloudinary.com/dtvnsczg8/image/upload/h_320,q_auto:low,w_320/v1719069420/drinks/admin/product/ChocolateCaribouFrost_product_1719069417574",PRODUCT,2024-06-22 22:17:02.049
171906948475805,drinks/admin/product/CoffeeCaribouFrost_product_1719069480684,2024-06-22 22:18:04.758,http://res.cloudinary.com/dtvnsczg8/image/upload/v1719069483/drinks/admin/product/CoffeeCaribouFrost_product_1719069480684.png,"http://res.cloudinary.com/dtvnsczg8/image/upload/h_320,q_auto:low,w_320/v1719069483/drinks/admin/product/CoffeeCaribouFrost_product_1719069480684",PRODUCT,2024-06-22 22:18:04.758
171906952810423,drinks/admin/product/CaramelCaribouFrost_product_1719069524477,2024-06-22 22:18:48.103,http://res.cloudinary.com/dtvnsczg8/image/upload/v1719069527/drinks/admin/product/CaramelCaribouFrost_product_1719069524477.png,"http://res.cloudinary.com/dtvnsczg8/image/upload/h_320,q_auto:low,w_320/v1719069527/drinks/admin/product/CaramelCaribouFrost_product_1719069524477",PRODUCT,2024-06-22 22:18:48.103
171906958898363,drinks/admin/product/FrozenCookiesandCrea_product_1719069584740,2024-06-22 22:19:48.983,http://res.cloudinary.com/dtvnsczg8/image/upload/v1719069587/drinks/admin/product/FrozenCookiesandCrea_product_1719069584740.png,"http://res.cloudinary.com/dtvnsczg8/image/upload/h_320,q_auto:low,w_320/v1719069587/drinks/admin/product/FrozenCookiesandCrea_product_1719069584740",PRODUCT,2024-06-22 22:19:48.983
171906964457764,drinks/admin/product/HoHoMintMoch_product_1719069639359,2024-06-22 22:20:44.577,http://res.cloudinary.com/dtvnsczg8/image/upload/v1719069642/drinks/admin/product/HoHoMintMoch_product_1719069639359.png,"http://res.cloudinary.com/dtvnsczg8/image/upload/h_320,q_auto:low,w_320/v1719069642/drinks/admin/product/HoHoMintMoch_product_1719069639359",PRODUCT,2024-06-22 22:20:44.577
171906969808833,drinks/admin/product/MochaShake_product_1719069693272,2024-06-22 22:21:38.088,http://res.cloudinary.com/dtvnsczg8/image/upload/v1719069695/drinks/admin/product/MochaShake_product_1719069693272.png,"http://res.cloudinary.com/dtvnsczg8/image/upload/h_320,q_auto:low,w_320/v1719069695/drinks/admin/product/MochaShake_product_1719069693272",PRODUCT,2024-06-22 22:21:38.088
